Node ID,Node Path,Query,Refinement Link
3375301,Sports & Outdoors,,
3394801,Sports & Outdoors/Accessories,item_type_keyword:general-sporting-equipment,
491437011,Sports & Outdoors/Accessories/Car Sports Racks,,
491440011,Sports & Outdoors/Accessories/Car Sports Racks/Bike Racks,item_type_keyword:automotive-bike-racks,See Available Refinements
3418501,Sports & Outdoors/Accessories/Car Sports Racks/Car Surfboard Racks,item_type_keyword:surfboard-car-racks,
15735311,Sports & Outdoors/Accessories/Car Sports Racks/Cargo Carriers,item_type_keyword:automotive-cargo-containers,See Available Refinements
491447011,Sports & Outdoors/Accessories/Car Sports Racks/Cargo Carriers/Cargo Baskets,item_type_keyword:automotive-cargo-baskets,See Available Refinements
491445011,Sports & Outdoors/Accessories/Car Sports Racks/Cargo Carriers/Hard-Shell Carriers,item_type_keyword:automotive-cargo-boxes,See Available Refinements
491446011,Sports & Outdoors/Accessories/Car Sports Racks/Cargo Carriers/Soft-Shell Carriers,item_type_keyword:automotive-cargo-bags,See Available Refinements
491441011,Sports & Outdoors/Accessories/Car Sports Racks/Kayak & Canoe Racks,item_type_keyword:automotive-kayak-racks,
491442011,Sports & Outdoors/Accessories/Car Sports Racks/Ski & Snowboard Racks,item_type_keyword:automotive-ski-racks,See Available Refinements
2368110011,Sports & Outdoors/Accessories/Car Sports Racks/Windsurfing Racks,item_type_keyword:automotive-windsurfing-board-racks,
3394821,Sports & Outdoors/Accessories/Coach & Referee Gear,item_type_keyword:coach-and-referee-equipment,
3394851,Sports & Outdoors/Accessories/Coach & Referee Gear/Marker Boards,item_type_keyword:coaches-marker-boards,
3394881,Sports & Outdoors/Accessories/Coach & Referee Gear/Megaphones,item_type_keyword:coaches-megaphones,
3394931,Sports & Outdoors/Accessories/Coach & Referee Gear/Scoreboards & Timers,item_type_keyword:scoreboards-and-timers,
3394941,Sports & Outdoors/Accessories/Coach & Referee Gear/Scorebooks,item_type_keyword:coach-and-referee-scorebooks,
698866011,Sports & Outdoors/Accessories/Coach & Referee Gear/Stopwatches,item_type_keyword:stopwatches,See Available Refinements
2368112011,Sports & Outdoors/Accessories/Coach & Referee Gear/Uniforms & Apparel,item_type_keyword:referee-uniforms,
3394971,Sports & Outdoors/Accessories/Coach & Referee Gear/Whistles,item_type_keyword:coach-and-referee-whistles,
219367011,Sports & Outdoors/Accessories/Electronics & Gadgets,item_type_keyword:sports-electronics-and-gadgets,See Available Refinements
219368011,Sports & Outdoors/Accessories/Electronics & Gadgets/Altimeters,item_type_keyword:sport-altimeters,See Available Refinements
219389011,Sports & Outdoors/Accessories/Electronics & Gadgets/Calorie Counters,item_type_keyword:sport-calorie-counters,See Available Refinements
219410011,Sports & Outdoors/Accessories/Electronics & Gadgets/Clinometers,item_type_keyword:sport-clinometers,See Available Refinements
219431011,Sports & Outdoors/Accessories/Electronics & Gadgets/Compasses,item_type_keyword:sport-compasses,See Available Refinements
5393956011,Sports & Outdoors/Accessories/Electronics & Gadgets/Cycling Accessories,item_type_keyword:cycling-electronics-accessories,See Available Refinements
3403321,Sports & Outdoors/Accessories/Electronics & Gadgets/Cycling Computers,item_type_keyword:cyclocomputers,See Available Refinements
5393954011,Sports & Outdoors/Accessories/Electronics & Gadgets/Cycling Power Meters,item_type_keyword:cycling-power-meters,See Available Refinements
5393958011,Sports & Outdoors/Accessories/Electronics & Gadgets/Fitness Trackers,item_type_keyword:fitness-trackers,See Available Refinements
219536011,Sports & Outdoors/Accessories/Electronics & Gadgets/GPS Units,item_type_keyword:sport-gps-units,See Available Refinements
617648011,Sports & Outdoors/Accessories/Electronics & Gadgets/GPS Units/Cycling GPS Units,item_type_keyword:cycling-gps-units,See Available Refinements
3411001,Sports & Outdoors/Accessories/Electronics & Gadgets/GPS Units/Golf Course GPS Units,item_type_keyword:golf-course-gps-units,See Available Refinements
319582011,Sports & Outdoors/Accessories/Electronics & Gadgets/GPS Units/Handheld GPS Units,item_type_keyword:handheld-gps-units,See Available Refinements
617647011,Sports & Outdoors/Accessories/Electronics & Gadgets/GPS Units/Running GPS Units,item_type_keyword:running-gps-units,See Available Refinements
3407971,Sports & Outdoors/Accessories/Electronics & Gadgets/Heart Rate Monitors,item_type_keyword:heart-rate-monitors,See Available Refinements
3403351,Sports & Outdoors/Accessories/Electronics & Gadgets/Heart Rate Monitors/Cycling Heart Rate Monitors,item_type_keyword:cycling-heart-rate-monitors,
219578011,Sports & Outdoors/Accessories/Electronics & Gadgets/Odometers,item_type_keyword:sport-odometers,See Available Refinements
219599011,Sports & Outdoors/Accessories/Electronics & Gadgets/Pedometers,item_type_keyword:sport-pedometers,See Available Refinements
219641011,Sports & Outdoors/Accessories/Electronics & Gadgets/Speedometers,item_type_keyword:sport-speedometers,See Available Refinements
698866011,Sports & Outdoors/Accessories/Electronics & Gadgets/Stopwatches,item_type_keyword:stopwatches,See Available Refinements
219704011,Sports & Outdoors/Accessories/Electronics & Gadgets/Weather Monitors,item_type_keyword:sport-weather-monitors,See Available Refinements
5393960011,Sports & Outdoors/Accessories/Electronics & Gadgets/Wireless Monitor Accessories,item_type_keyword:wireless-fitness-monitor-accessories,See Available Refinements
5393962011,Sports & Outdoors/Accessories/Electronics & Gadgets/Wirelessly-connected Body Scales,item_type_keyword:wirelessly-connected-body-scales,See Available Refinements
15743181,Sports & Outdoors/Accessories/Gym Bags,,See Available Refinements
2404177011,Sports & Outdoors/Accessories/Gym Bags/Drawstring Bags,item_type_keyword:gym-drawstring-bags,See Available Refinements
2404176011,Sports & Outdoors/Accessories/Gym Bags/Gym Totes,item_type_keyword:gym-tote-bags,See Available Refinements
3395001,Sports & Outdoors/Accessories/Gym Bags/Sports Duffels,item_type_keyword:sports-duffel-bags,See Available Refinements
719962011,Sports & Outdoors/Accessories/Headbands,item_type_keyword:sports-headbands
2341089011,Sports & Outdoors/Accessories/Inflation Devices & Accessories,
3258926011,Sports & Outdoors/Accessories/Inflation Devices & Accessories/Inflation Device Accessories,item_type_keyword:sports-inflation-device-accessories
3258925011,Sports & Outdoors/Accessories/Inflation Devices & Accessories/Inflation Devices,item_type_keyword:sports-inflation-devices
2344487011,Sports & Outdoors/Accessories/Lawn Games,item_type_keyword:lawn-game-equipment
676772011,Sports & Outdoors/Accessories/Lawn Games/Bocce,item_type_keyword:bocce-sets
676773011,Sports & Outdoors/Accessories/Lawn Games/Croquet,item_type_keyword:croquet-sets
2348308011,Sports & Outdoors/Accessories/Lawn Games/Horseshoes,item_type_keyword:horseshoe-games
14329931,Sports & Outdoors/Accessories/Lawn Games/Kickballs,item_type_keyword:kickballs
13287931,Sports & Outdoors/Accessories/Lawn Games/Pickle-Ball,item_type_keyword:pickle-ball-equipment
13287941,Sports & Outdoors/Accessories/Lawn Games/Pickle-Ball/Balls,item_type_keyword:pickle-ball-balls
13287971,Sports & Outdoors/Accessories/Lawn Games/Pickle-Ball/Paddles,item_type_keyword:pickle-ball-paddles
3395061,Sports & Outdoors/Accessories/Lawn Games/Playground Balls,item_type_keyword:playground-balls
3414981,Sports & Outdoors/Accessories/Lawn Games/Pogo Sticks,item_type_keyword:pogo-sticks
2369066011,Sports & Outdoors/Accessories/Lawn Games/Stilts,item_type_keyword:recreational-stilts
293606011,Sports & Outdoors/Accessories/Lawn Games/Tetherball,item_type_keyword:tetherball-equipment
3415001,Sports & Outdoors/Accessories/Lawn Games/Trampolines,item_type_keyword:trampolines
2358921011,Sports & Outdoors/Accessories/Memorabilia Display & Storage,item_type_keyword:sports-related-collectibles-display-and-storage-products
2358922011,Sports & Outdoors/Accessories/Memorabilia Display & Storage/Card Albums,item_type_keyword:sports-related-trading-card-albums
2358923011,Sports & Outdoors/Accessories/Memorabilia Display & Storage/Card Boxes,item_type_keyword:sports-related-trading-card-storage-boxes
2358924011,Sports & Outdoors/Accessories/Memorabilia Display & Storage/Card Screwdowns,item_type_keyword:sports-related-trading-card-screwdown-holders
2358925011,Sports & Outdoors/Accessories/Memorabilia Display & Storage/Card Sleeves,item_type_keyword:sports-related-trading-card-sleeves
374791011,Sports & Outdoors/Accessories/Memorabilia Display & Storage/Display Cases,item_type_keyword:sports-related-display-cases
2344448011,Sports & Outdoors/Accessories/Playing Field Equipment,
3394811,Sports & Outdoors/Accessories/Playing Field Equipment/Bleachers,item_type_keyword:sports-bleachers
3394981,Sports & Outdoors/Accessories/Playing Field Equipment/Cones,item_type_keyword:sports-cones
3394991,Sports & Outdoors/Accessories/Playing Field Equipment/Corner Flags,item_type_keyword:sports-corner-flags
3395011,Sports & Outdoors/Accessories/Playing Field Equipment/Field Marking Equipment,item_type_keyword:sports-field-marking-equipment
13292501,Sports & Outdoors/Accessories/Playing Field Equipment/Line Striping Machines,item_type_keyword:sports-line-striping-machines
3395081,Sports & Outdoors/Accessories/Playing Field Equipment/Stadium Seats & Cushions,item_type_keyword:sports-stadium-seats-and-cushions
3395071,Sports & Outdoors/Accessories/Reflective Gear,item_type_keyword:sports-reflective-gear
3422351,Sports & Outdoors/Accessories/Sports Medicine,item_type_keyword:sports-medicine-products
3775561,Sports & Outdoors/Accessories/Sports Medicine/Athletic Tape & Supplies,item_type_keyword:athletic-taping-supplies
3762711,Sports & Outdoors/Accessories/Sports Medicine/Bandages & Dressings,item_type_keyword:bandaging-products
3762721,Sports & Outdoors/Accessories/Sports Medicine/Bandages & Dressings/Adhesive Bandages,item_type_keyword:self-adhesive-bandages
3762751,Sports & Outdoors/Accessories/Sports Medicine/Bandages & Dressings/Finger Cots,item_type_keyword:finger-cots
3762761,Sports & Outdoors/Accessories/Sports Medicine/Bandages & Dressings/First Aid Tape,item_type_keyword:first-aid-tape
3762771,Sports & Outdoors/Accessories/Sports Medicine/Bandages & Dressings/Gauze & Pads,
702366011,Sports & Outdoors/Accessories/Sports Medicine/Bandages & Dressings/Gauze & Pads/Bandaging Pads,item_type_keyword:bandaging-pads
702367011,Sports & Outdoors/Accessories/Sports Medicine/Bandages & Dressings/Gauze & Pads/Gauze,item_type_keyword:gauze
3762781,Sports & Outdoors/Accessories/Sports Medicine/Bandages & Dressings/Liquid Bandages,item_type_keyword:liquid-bandages
3775541,"Sports & Outdoors/Accessories/Sports Medicine/Braces, Splints & Slings",item_type_keyword:medical-braces-and-supports
13106311,"Sports & Outdoors/Accessories/Sports Medicine/Braces, Splints & Slings/Ankle & Foot",
5006362011,"Sports & Outdoors/Accessories/Sports Medicine/Braces, Splints & Slings/Ankle & Foot/Ankle Braces",item_type_keyword:ankle-braces
5006363011,"Sports & Outdoors/Accessories/Sports Medicine/Braces, Splints & Slings/Ankle & Foot/Foot Supports",item_type_keyword:foot-supports
5006366011,"Sports & Outdoors/Accessories/Sports Medicine/Braces, Splints & Slings/Back & Shoulder",
5006367011,"Sports & Outdoors/Accessories/Sports Medicine/Braces, Splints & Slings/Back & Shoulder/Back Braces",item_type_keyword:back-braces
5006368011,"Sports & Outdoors/Accessories/Sports Medicine/Braces, Splints & Slings/Back & Shoulder/Lumbar Supports",item_type_keyword:lumbar-supports
4986874011,"Sports & Outdoors/Accessories/Sports Medicine/Braces, Splints & Slings/Back & Shoulder/Shoulder Supports",item_type_keyword:shoulder-supports
13106331,"Sports & Outdoors/Accessories/Sports Medicine/Braces, Splints & Slings/Elbow & Arm",
5006371011,"Sports & Outdoors/Accessories/Sports Medicine/Braces, Splints & Slings/Elbow & Arm/Arm Supports",item_type_keyword:arm-supports
